First Name,Surname,Title,Hyperlink,Image, Abstract, Letters, Wood, Plastic, Paper, Glass, Lithium, Copper, Silver, Gold
Alex,Rainer,Title of the Thesis,https://nima.com,asset/img_1.png,"Nazbierawszy drewna pomyślałem...",y,y,n,n,n,n,n,n,n
Maja,Usak,Gość dom—Bóg w dom.,https://nimatyż.com,asset/img_2.png,"Gość dom bóg w dom to bardzo bardzo ale to bardzo głupi i nudny tekst! Nikt nie chce go przeczytać. Gdybym mogła to bym go była nigdy nie pisała...",n,n,y,y,n,n,n,n,n
Maya,Cure,LA LA LA NYC,https://nimatyż.com,asset/img_3.png,"From NYC to LA MAYA goes on plane, or an umbrella, or a bike, or a rollerblade, yes—you have read it right—how many rollerblades? there was only one!",n,y,y,y,n,n,y,n,n
Jasper,Naus,중앙일보,https://niemacie.pl,asset/img_4.png,"MacGuffin is a thing that creates the focus, everything is related to that thing but what it actually is, how it looks like etc. does not matter that much. What matters is that everyone knows about it.",n,y,y,y,n,n,y,n,n
Jane,Dawson,"Straight from Riviera: How tortillas reached every continent of the world?",https://torilllllla.tr,asset/img_5.png,"Tortillas are tasty, tortillas are flat, I cannot really do anything about that?",y,y,n,y,y,y,y,y,n
Ruth,Godstein,"Books, books, books... I got so many books!",https://boooooo.ks,asset/img_6.png,"A story about all the books I have seen or owned, talked about or got as presents, some of them very dear to me, some of them I'd rather not...",y,y,y,n,n,n,y,n,n
Omid,Nebalhadid,فارسی,https://lol.pl,asset/img_7.png,"Hello فارسی How does it work!?",y,n,n,n,y,n,n,n,n
Lena,Fischer,The Weight of White Space,https://lena-fischer.de,asset/img_8.png,"Empty space is not empty at all. In this thesis I trace the history of margin, silence, and pause in printed matter—from medieval manuscripts to modernist grid systems—and ask what happens when we stop filling.",y,n,n,y,n,n,n,y,n
Thomas,Meijer,Vernacular Futures,https://thomasmeijer.nl,asset/img_9.jpg,"Folk aesthetics have always leaked into design whether we invite them or not. I follow the trail of vernacular letterforms across Dutch street signage, market stalls, and amateur-printed flyers to find a design language that was never taught in any school.",n,y,n,y,n,n,n,n,y
Sofia,Andersson,On Legibility and Power,https://sofiaandersson.se,asset/img_10.png,"Who decides what is readable? Who decides what is readable? This research examines how legibility Who decides what is readable?  standards have been  used as instruments of cultural, Who decides what is readable?   used as instruments of cultural, Who decides what is readable?   used as instruments of cultural, Who decides what is readable?  used as instruments of cultural, Who decides what is readable?  exclusion, from colonial typesetting policies to contemporary dyslexia-friendly font campaigns.",y,n,n,y,y,n,n,y,n
Karim,Benali,Dust and Data,https://karimbenali.fr,asset/img_11.png,"I grew up in a house full of printed receipts, torn calendars, and handwritten notes stuck to the fridge with magnets shaped like fruit. This thesis is about the graphic archaeology of the everyday home.",n,n,y,n,n,y,n,n,y
Yuki,Tanaka,Translation as Design,https://yukitanaka.jp,asset/img_12.jpg,"Every act of translation is also an act of design. I look at Japanese-English bilingual publishing from the 1960s to now, asking how the space between two scripts becomes a site of negotiation, compromise, and sometimes invention.",y,n,n,y,n,n,y,n,n
Pieter,van den Berg,Infrastructures of Attention,https://pietervandenberg.nl,asset/img_13.png,"Before anyone reads a poster, the poster has already spoken. I map the invisible design decisions that determine what we notice, what we ignore, and who gets to make that choice in public space.",n,y,n,n,n,y,n,y,n
Amara,Diallo,Color Has No Memory,https://amaradiallo.com,asset/img_14.png,"A study of how color meaning migrates across cultures and decades. Starting from a single shade of green found in both a Guinean ceremonial cloth and a Dutch pharmaceutical label, I unravel the surprisingly short distances between very different worlds.",n,n,y,y,y,n,n,n,y
Erik,Lindström,The Error as Method,https://eriklindstrom.se,asset/img_15.png,"Glitch, misprint, and accident have been systematically excluded from the design canon. This thesis rehabilitates the mistake as a productive force, drawing on case studies from offset printing disasters that became collector's items.",y,n,n,n,n,n,y,y,n
Nadia,Kowalski,Cookbook as Archive,https://nadiakowalski.pl,asset/img_16.png,"The cookbook is the most widely read genre of nonfiction and the least studied. I treat recipes as designed objects—layouts of time, quantity, and gesture—and ask what they preserve that photographs cannot.",y,y,n,y,n,n,n,n,y
Hugo,Ferreira,Surface Tension,https://hugoferreira.pt,asset/img_17.png,"I spent three months photographing the underside of tables in public libraries. This thesis uses those images as a starting point for thinking about surfaces that face away, graphic matter that was never meant to be seen.",n,n,y,n,y,n,n,y,n
Chiara,Romano,Grief in Lowercase,https://chiararomano.it,asset/img_18.jpg,"Death notices, condolence cards, memorial pages—typographic conventions for grief are remarkably stable across time. I ask why mourning looks the way it does, and what it would mean to design it differently.",y,n,n,y,n,n,y,n,n
Sven,Bakker,The Second Grid,https://svenbakker.nl,asset/img_19.png,"The baseline grid is a promise the designer makes to the reader. But what about the invisible secondary structures—optical margins, hang zones, bleed relationships—that no software makes visible? This thesis names and maps them.",n,y,n,n,n,n,n,y,y
Fatima,Ouali,Patterns Without Origin,https://fatima-ouali.ma,asset/img_20.png,"Geometric pattern is often described as Islamic, Celtic, or Scandinavian—but pattern travels faster than attribution. Tracing a single motif across four continents and six centuries, I follow what happens to form when it leaves its supposed source.",n,n,y,y,n,y,n,n,n
Lukas,Novak,Instructions for Disappearing,https://lukasnovak.cz,asset/img_21.png,"The exit sign is the most-designed and least-noticed object in any building. I use it as a lens to examine emergency graphics—a typographic genre governed entirely by fear, liability, and international standards.",y,n,n,n,y,n,y,n,n
Hana,Kim,Softness as Argument,https://hanakim.kr,asset/img_22.png,"Rounded corners, pastel gradients, cushioned typefaces—the visual language of care and wellness has become the visual language of everything. I trace how softness became a political aesthetic and ask what it costs.",n,y,y,n,n,n,n,y,n
Marco,Russo,Mediterranean Miscellany,https://marcorusso.it,asset/img_23.png,"A collection of menus, wine labels, bus tickets, and film posters gathered from a single square kilometer in Naples over the course of a summer. This thesis argues that graphic density is a form of urban memory.",y,n,n,y,y,n,n,n,y
Ingrid,Johannsen,Paper Remembers,https://ingridj.no,asset/img_24.png,"Different papers age differently. I investigate the material life of printed documents—how acid content, humidity, and light transform graphic artifacts over decades—and ask whether designers have a responsibility to time.",n,n,y,n,n,y,y,n,n
Amir,Rezai,The Margin Note,https://amirrezai.ir,asset/img_25.png,"Readers have always written back. This thesis studies marginalia across centuries—annotations, corrections, arguments, drawings—as a counter-design practice that reveals what official layouts suppress.",y,y,n,y,n,n,n,n,n
