First Name;Surname;Title;Hyperlink;image;Abstract;Language;Typography;Politics;Publishing;Memory;Technology;Identity;Archive;History;Add a new keyword;Add a new keyword;Add a new keyword
Malva;Askerup;The Bitters Column, Issue 5: Women* Sitting at the Machine, Thinking;https://t-b-c.nl/home-page-thesis.html;asset/thumbnail/malva.jpeg;The Bitters Column is a bi-monthly publication about forming a feminist graphic design practice in conversation with others. This is the fifth?—?and special?—?issue, publishing a text titled ‘Women* Sitting at the Machine, Thinking’, written as an expanded editorial note of sorts, meditating on four words: ‘to form a practice’.;n;n;n;n;n;n;n;n;n;n;n;n
Federico;Berloni;Seppia;https://kabk.github.io/go-theses-federico-berloni;asset/thumbnail/federico.jpg;This research explores communication as an embodied process shaped by rhythm, perception, and presence. It focuses on subtle bodily signals that could influence dialogues before speech. The project introduces Seppia, a device that allows participants to perceive each other’s heartbeat in real time through sound. Rather than translating signals into data, it preserves their rhythmic quality, shifting interaction from interpretation to perception.;n;n;n;n;n;n;n;n;n;n;n;n
Feyo;Birza;What If Flowers Came From the Moon?;https://kabk.github.io/go-theses-26-feyo-birza;asset/thumbnail/feyo.jpeg;This project begins with the observation that reflection tends to appear in the in-between moments, rather than in clearly defined events. It explores how these moments are shaped by time, environment, and attention, and how they contribute to personal change. Instead of producing reflection, it asks how space can be made for it to happen.;n;n;n;n;n;n;n;n;n;n;n;n
Dragomir;Bivol;Lost in Translation;https://kabk.github.io/go-theses-26-dragomir-bivol;asset/thumbnail/drago.jpg;This paper examines how replication reinforces culture and knowledge democratization through a historical analysis of Romanian Principalities and digital realm.;n;n;n;n;n;n;n;n;n;n;n;n
Eva;Bragadóttir;From Consumption to Digestion: Rethinking Engagement in a Contemporary Media Environment;https://kabk.github.io/go-theses-26-eva-bragadottir;asset/thumbnail/eva.jpeg;Fast moving media encourages us to consume information without processing it – without feeling <em>nourished</em> by it. This project uses digestion as a metaphor to rethink how we take in information.;n;n;n;n;n;n;n;n;n;n;n;n
Csenge;Burgyan;VISUAL AND LINGUISTIC PATTERNS IN HUNGARIAN POLITICAL COMMUNICATION: COMPARING THE 1950S SOCIALIST ERA TO TODAY'S GOVERNMENT MESSAGING;https://kabk.github.io/go-theses-26-csenge-burgyan;asset/thumbnail/csenge.jpeg;"This thesis examines parallels between Hungarian communist-era political communication (1945–1956) and that of the contemporary ruling party, Fidesz. The aim is to show how visual and linguistic patterns from that period are still present today. Growing up in Hungary, I witnessed this shift firsthand: in 2010, government messaging was barely visible; now every corner is covered in billboards repeating similar messages through a unified visual language. The research approaches this question from two directions — visual and linguistic.";n;n;n;n;n;n;n;n;n;n;n;n
Farabelle;Calicher;That Sounds Funny on Paper;https://kabk.github.io/go-theses-26-farabelle-calicher;asset/thumbnail/farabelle.jpeg;;n;n;n;n;n;n;n;n;n;n;n;n
Alessia;Campanella;The Archive;https://kabk.github.io/go-theses-26-alessia-campanella;asset/thumbnail/alessia.jpeg;"Elena, classified as a ""Mute"" by a bureaucratic system, has applied 48 times over 18 years to regain her voice, only to be denied by an impossible architecture of standards designed to ensure failure—a denial delivered by the system's own aware operator, Castellan, and witnessed by the indifferent Archive worker who processes the paperwork. Told through three interlocking voices, the narrative exposes how institutional violence operates through procedure and how bureaucratic denial becomes indistinguishable from design, with an author's confessional afterword that grounds the speculation in historical reality.";n;n;n;n;n;n;n;n;n;n;n;n
Maya;Curé;Forbidden Fruit Smells The Sweetest;https://kabk.github.io/go-theses-26-maya-cure;asset/thumbnail/maya.jpeg;This essay examines how perfume functions as a carrier of memory, desire, and loss through the myth of Eden. Drawing on psychology and philosophy, it argues that scent operates as a trigger for nostalgia, making absence physically perceptible. Through research and collaborations with perfumers, the project reframes fragrance as a way to engage with decay, time, and the impossibility of return.;n;n;n;n;n;n;n;n;n;n;n;n
Alexandre;Daïna;The Echo of an Unshared Mind;https://kabk.github.io/go-theses-26-alexandre-daina;asset/thumbnail/alexandre.jpeg;This project explores the relationship between hyper-awareness, isolation, and perceptual distortion through a narrative essay structured in three movements. It follows Tristan, initially accompanied by a psychologist, to examine how excessive self-perception, first experienced as control and precision, gradually destabilises his ability to remain oriented within reality. In Paris, hyper-awareness is constructed as a heightened sensitivity to social space. Tristan constantly perceives himself within situations, anticipating gestures, correcting speech, and adjusting his presence. This produces a doubling, where a “second Tristan” observes and evaluates the first. What appears as precision progressively turns inward, becoming continuous self-surveillance. The transition to isolation unfolds through the journey to the castle. As external interactions diminish, the friction that previously grounded perception disappears. Tristan’s awareness no longer adjusts to others, but expands without resistance. In the castle, this process intensifies. The space remains stable, yet small discrepancies accumulate: echoes extend, reflections lag, and repeated actions become absorbing. Observation begins to precede experience, as notes describe Tristan before he acts. The distinction between observing and being observed collapses. This culminates in the emergence of a presence following him, initially ambiguous, then revealed as his own image, misaligned and delayed. What appears as an external threat is inseparable from his own perception. The project constructs a perceptual trajectory through the essay, later translated into film. It suggests that the risk lies in excess, when perception folds inward and can no longer distinguish between what is produced and what is perceived.;n;n;n;n;n;n;n;n;n;n;n;n
